Country,CO2Emissions,YearlyChange,Percapita,Population,LifeExpectancy
Saudi Arabia,517079407,0.92,15.94,32443447,74.761
Senegal,8247295,3.69,0.55,14993519,67.078
Serbia,41168059,2.27,4.65,8853963,75.505
Seychelles,519693,2.62,5.43,95710,73.226
Sierra Leone,1272332,3.43,0.17,7328834,53.444
Singapore,48381759,2.56,8.56,5653634,83.083
Slovakia,36817242,1.74,6.77,5442003,77.034
Slovenia,14722601,2.35,7.1,2074210,80.852
Solomon Islands,341748,7.18,0.55,619438,72.424
Somalia,1268442,2.57,0.09,14185636,56.324
South Africa,390557850,-0.49,6.95,56207646,63.153
South Korea,604043830,0.45,11.85,50983457,82.379
South Sudan,4038496,4.18,0.37,10832518,57.12
Spain,251892320,-3.12,5.4,46634140,83.145
Sri Lanka,18454691,8.55,0.88,21021171,76.482
Sudan,13294106,4.18,0.33,39847439,64.663
Suriname,2152933,0.32,3.81,564888,71.358
Sweden,44694415,4.33,4.54,9836007,82.382
Switzerland,39666930,-2.3,4.73,8379917,83.31
Syria,38054696,1.78,2.18,17465575,70.315
Taiwan,276724868,1.91,11.72,23618200,79.927
Tajikistan,6049757,3.37,0.7,8663579,70.397
Tanzania,9731560,2.5,0.18,53049230,63.844
Thailand,271040160,1.55,3.93,68971308,76.403
Timor-Leste,495687,4.63,0.41,1219288,68.735
Togo,2321546,5.47,0.31,7509951,60.22
Tonga,251375,7.19,2.49,101133,70.607
Trinidad and Tobago,34974263,-5.92,25.39,1377560,73.1
Tunisia,29395965,0.82,2.6,11303945,76.115
Turkey,368122740,5.25,4.61,79827871,76.86
Turkmenistan,79279216,0.63,14,5662368,67.835
Turks and Caicos,65451,1.52,1.79,36559,79.732
Uganda,5009493,3.82,0.13,39649166,61.986
Ukraine,233220080,8.03,5.22,44713702,71.711
United Arab Emirates,218788684,4.43,23.37,9360980,77.47
United Kingdom,367860350,-6.38,5.55,66297944,81.111
United States,5011686600,-2.01,15.52,323015995,78.885
Uruguay,6508013,1.91,1.9,3424129,77.498
Uzbekistan,109347340,1.6,3.48,31441751,71.171
Vanuatu,137706,7.18,0.49,278330,70.021
Venezuela,175884256,-1.9,5.89,29851255,72.405
Vietnam,206042140,0.09,2.2,93640422,75.172
Western Sahara,207592,2.61,0.39,538749,69.496
Yemen,25647990,1.62,0.94,27168208,66.087
Zambia,4230584,3.67,0.26,16363458,62.464
Zimbabwe,10062628,-4.17,0.72,14030331,60.294
